,address,hotel name,score,url,description,city,category score,lat,lon,description_w,temp.day,humidity,rain,pop
10,"1083 Chemin de Bégué, 82000 Montauban, France",Castel Bois Marie,9.4,https://www.booking.com/hotel/fr/castel-bois-marie.en-gb.html,"[""You're eligible for a Genius discount at Castel Bois Marie! To save at this property, all you have to do is "", '.', 'Set in Montauban, 50 km from Amphitheatre Purpan-Ancely, Castel Bois Marie offers accommodation with a restaurant, free private parking, a seasonal outdoor swimming pool and a bar. Each accommodation at the 5-star guest house has garden views, and guests can enjoy access to a shared lounge and to a garden. Certain units at the property feature a balcony with pool view.', 'The units come with air conditioning, a flat-screen TV with satellite channels, a kettle, a shower, bathrobes and a desk. Every room includes a private bathroom with slippers, while certain rooms will provide you with a patio and others also provide guests with lake views. At the guest house each room comes with bed linen and towels.', 'Guests at Castel Bois Marie can enjoy a continental breakfast.', 'The accommodation offers a sun terrace.', 'The nearest airport is Toulouse-Blagnac Airport, 52 km from Castel Bois Marie. ']",Montauban,9.0,44.0176,1.355,overcast clouds,24,46,10,35
11,"24 Avenue Chamier, 82000 Montauban, France",Vanille Bourbon,9.2,https://www.booking.com/hotel/fr/vanille-bourbon.en-gb.html,"[""You're eligible for a Genius discount at Vanille Bourbon! To save at this property, all you have to do is "", '.', 'Situated in Montauban, 50 km from Amphitheatre Purpan-Ancely, Vanille Bourbon features accommodation with free WiFi, air conditioning and access to a garden with a terrace.', 'The bed and breakfast offers a seating area with a flat-screen TV and a private bathroom with a hairdryer, free toiletries and shower. For added convenience, the property can provide towels and bed linen for an extra charge.', 'Guests at Vanille Bourbon can enjoy a continental or a à la carte breakfast.', 'The nearest airport is Toulouse-Blagnac Airport, 52 km from the accommodation. ']",Montauban,9.0,44.0176,1.355,overcast clouds,24,46,10,35
12,"14 chemin Jambau, 82130 Montauban, France",Château de Loubéjac,8.7,https://www.booking.com/hotel/fr/chateau-de-loubejac.en-gb.html,"[""A 15th-century castle set 3 km from L'Honor-de-Cos and 8 km from Montauban, Château de Loubéjac offers a seasonal outdoor pool, a tennis court and free Wi-Fi access in the public areas."", ""Breakfast includes homemade jams, homemade pies, cheese and ham. A table d'hôtes is available upon request and reservation is needed. Guests can enjoy traditional French cuisine and regional dishes."", 'The rooms are individually decorated and each has a private bathroom with shower, free toiletries and hairdryer. Some rooms have a pool view.', ""There is a golf course 3 km away from Château de Loubéjac and guests can go canoeing in the Gorges de l'Aveyron 40 km away. Toulouse is 45 km from the castle and Blagnac Airport is 35 km away. There is a private car park at the property. ""]",Montauban,9.0,44.0176,1.355,overcast clouds,24,46,10,35
13,"2980 Chemin de Fayence, 82000 Montauban, France",DORMIR A MONTAUBAN Logements Carreyrat Calme et Verdoyant,9.0,https://www.booking.com/hotel/fr/studio-carreyrat-cadre-calme-et-verdoyant.en-gb.html,"[""You're eligible for a Genius discount at DORMIR A MONTAUBAN Logements Carreyrat Calme et Verdoyant! To save at this property, all you have to do is "", '.', 'DORMIR A MONTAUBAN Logements Carreyrat Calme et Verdoyant has garden views, free WiFi and free private parking, situated in Montauban.', 'All units come with a seating area, a flat-screen TV with satellite channels and a private bathroom with a hairdryer and shower. A microwave, a fridge and stovetop are also offered in the kitchen, as well as a kettle.', 'The apartment offers a terrace.', ""A children's playground can be found at DORMIR A MONTAUBAN Logements Carreyrat Calme et Verdoyant, along with a garden."", 'The nearest airport is Toulouse-Blagnac Airport, 55 km from the accommodation. ']",Montauban,9.0,44.0176,1.355,overcast clouds,24,46,10,35
14,"51 rue de la résistance, 82000 Montauban, France",Le bon'appart - 50m de la cathédrale,9.0,https://www.booking.com/hotel/fr/t3-90-m-hypercentre-a-50-m-de-la-cathedrale.en-gb.html,"[""You're eligible for a Genius discount at Le bon'appart - 50m de la cathédrale! To save at this property, all you have to do is "", '.', ""Le bon'appart - 50 m de la cathédrale is located in Montauban. This apartment provides an ATM and free WiFi."", 'The apartment features 2 bedrooms, a flat-screen TV with satellite channels, an equipped kitchen with a microwave and a fridge, a washing machine, and 2 bathrooms with a shower. Towels and bed linen are provided.', 'If you would like to discover the area, hiking and fishing are possible in the surroundings and the apartment can arrange a car rental service.', ""The nearest airport is Toulouse-Blagnac Airport, 53 km from Le bon'appart - 50 m de la cathédrale. ""]",Montauban,9.0,44.0176,1.355,overcast clouds,24,46,10,35
15,"7 Rue du Greffe, 82000 Montauban, France",2 appartements Rue du greffe,8.6,https://www.booking.com/hotel/fr/authentic-night-montauban.en-gb.html,"[""You're eligible for a Genius discount at 2 appartements Rue du greffe! To save at this property, all you have to do is "", '.', 'Located in Montauban, 2 appartements Rue du greffe provides accommodation with free WiFi and seating area.', 'The units come with parquet floors and feature a fully equipped kitchen with a microwave, a dining area, a flat-screen TV, and a private bathroom with shower and a hairdryer. A fridge, a stovetop and toaster are also provided, as well as a kettle and a coffee machine.', 'If you would like to discover the area, fishing is possible in the surroundings.', 'The nearest airport is Toulouse-Blagnac Airport, 53 km from the apartment. ']",Montauban,9.0,44.0176,1.355,overcast clouds,24,46,10,35
16,"Apt 23 Bat A 6 Rue des Liserons, 82000 Montauban, France",Appartement lumineux et traversant,9.0,https://www.booking.com/hotel/fr/appartement-lumineux-et-traversant.en-gb.html,"['Appartement lumineux et traversant is set in Montauban. This apartment offers free private parking and free WiFi.', 'The apartment is fitted with 2 bedrooms, a flat-screen TV and a fully equipped kitchen that provides guests with a microwave and a fridge. Towels and bed linen are featured in the apartment.', 'The nearest airport is Toulouse-Blagnac Airport, 54 km from the apartment. ']",Montauban,9.0,44.0176,1.355,overcast clouds,24,46,10,35
17,"9 Rue Sainte-Claire, 82000 Montauban, France",Logis Sainte Claire,9.2,https://www.booking.com/hotel/fr/le-logis-sainte-claire.en-gb.html,"['Located in Montauban, Logis Sainte Claire provides accommodation with a terrace and free WiFi.', 'This apartment is equipped with 1 bedroom, a kitchen with a dishwasher and a microwave, a flat-screen TV, a seating area and 1 bathroom. Towels and bed linen are provided in this accommodation.', 'The nearest airport is Toulouse-Blagnac Airport, 54 km from the apartment. ']",Montauban,9.0,44.0176,1.355,overcast clouds,24,46,10,35
18,"1 er étage 8 rue du greffe, 82000 Montauban, France",La parenthèse gourmande avec clim et parking,9.1,https://www.booking.com/hotel/fr/la-parenthese-gourmande.en-gb.html,"[""You're eligible for a Genius discount at La parenthèse gourmande avec clim et parking! To save at this property, all you have to do is "", '.', 'La parenthèse gourmande avec clim et parking is situated in Montauban. This apartment features air-conditioned accommodation with free WiFi.', 'The apartment has 1 bedroom, 1 bathroom, bed linen, towels, a flat-screen TV with cable channels, a dining area, a fully equipped kitchen, and a balcony with city views.', 'If you would like to discover the area, hiking is possible in the surroundings.', 'The nearest airport is Toulouse-Blagnac Airport, 53 km from the apartment. ']",Montauban,9.0,44.0176,1.355,overcast clouds,24,46,10,35
19,"22 Rue Dominique Ingres, 82000 Montauban, France",Numero22 Chambres d'hôtes,9.2,https://www.booking.com/hotel/fr/numero22.en-gb.html,"[""Located in Montauban, Numero22 Chambres d'hôtes provides accommodation with free WiFi and a garden with an outdoor swimming pool and garden views."", 'There is a fully equipped private bathroom with shower and free toiletries.', 'A continental breakfast is available daily at the bed and breakfast.', ""Numero22 Chambres d'hôtes offers a terrace."", 'The nearest airport is Toulouse-Blagnac Airport, 54 km from the accommodation. ']",Montauban,9.0,44.0176,1.355,overcast clouds,24,46,10,35
20,"11 Rue Du Port Vieux, 64200 Biarritz, France",Brit Hotel Marbella,7.4,https://www.booking.com/hotel/fr/citotelmarbella.en-gb.html,"['Located in Biarritz, Brit Hotel Marbella is in the Old Harbour district just a 5-minute walk from three beaches. Free WiFi is available throughout the property.', 'Each guest room at Brit Hotel Marbella is air conditioned and has a flat-screen TV with satellite channels. Some rooms feature a balcony or a terrace. They all offer a private bathroom with free toiletries and a hairdryer.', ""This hotel's location makes it an excellent base to discover the Basque Coast. It is also within walking distance from the town centre, the spa and many sport and cultural facilities. Biarritz Train Station is located 4 km from the property and Biarritz Airport is 5 km away. ""]",Biarritz,7.0,43.4833,-1.5593,light rain,24,47,1,33
21,"11 avenue de la Marne, 64200 Biarritz, France",Charming flat in the heart of Biarritz,7.3,https://www.booking.com/hotel/fr/charming-flat-in-the-heart-of-biarritz.en-gb.html,"['Charming flat in the heart of Biarritz is set in Biarritz, 400 m from Grande Plage, 600 m from Plage Miramar, and 700 m from Plage Pêcheurs. This property offers access to a balcony, free private parking and free WiFi.', 'The apartment has 2 bedrooms, a TV, an equipped kitchen with a dishwasher and a microwave, a washing machine, and 1 bathroom with a shower. Towels and bed linen are offered.', 'Cote des Basques Beach is 1.2 km from the apartment, while Plage Marbella is 2.9 km from the property. The nearest airport is Biarritz Airport, 5 km from Charming flat in the heart of Biarritz. ']",Biarritz,7.0,43.4833,-1.5593,light rain,24,47,1,33
22,"2 Rue Jean Bart Appt 1, 64200 Biarritz, France",Junto Rock Modern apartment in hypercenter beach,7.2,https://www.booking.com/hotel/fr/junto-rock-modern-apartment-in-hypercenter.en-gb.html,"['Situated in Biarritz, 400 m from Grande Plage, Junto Rock Modern apartment in hypercenter beach features accommodation with a casino, free WiFi and a 24-hour front desk. The property features city views and is 500 m from Plage Pêcheurs and less than 1 km from Cote des Basques Beach.', 'The apartment has 1 bedroom, a TV with satellite channels, an equipped kitchen with a microwave and a fridge, a washing machine, and 1 bathroom with a bath or shower.', 'Biarritz La Négresse Train Station is 3.2 km from the apartment, while Saint Jean de Luz Train Station is 17 km from the property. The nearest airport is Biarritz Airport, 5 km from Junto Rock Modern apartment in hypercenter beach. ']",Biarritz,7.0,43.4833,-1.5593,light rain,24,47,1,33
23,"11 Avenue Edouard VII, 64200 Biarritz, France",Hôtel Le Windsor Biarritz,8.4,https://www.booking.com/hotel/fr/inter-windsor.en-gb.html,"[""You're eligible for a Genius discount at Hôtel Le Windsor Biarritz! To save at this property, all you have to do is "", '.', 'Fully renovated in 2021, the environmentally-friendly Hôtel Le Windsor Biarritz is located on the beachfront, in the heart of Biarritz. It offers modern accommodation with sea views and free Wi-Fi access. A room service as well as a conciergerie service are provided.', 'It has soundproofed and air-conditioned guest rooms. Each elegantly designed room has an en suite bathroom, flat-screen TV with satellite channels and views of the sea, the town or the courtyard.', ""Hôtel Le Windsor Biarritz offers two breakfast options. Guests can choose from a continental breakfast in the room or a buffet breakfast. The bistronomic restaurant, 'Chez Eugénie Biarritz', offers seafood and meals made with fresh and seasonal produce, cooked on site."", 'A public car park is available 50 m from the hotel, at an extra cost. Hôtel Le Windsor Biarritz is within easy access of the town’s many shops, covered market, the Aquarium, the Rocher de la Vierge and Bellevue Casino Congress Centre. ']",Biarritz,8.0,43.4833,-1.5593,light rain,24,47,1,33
24,"2, rue Guy Petit, 64200 Biarritz, France",Hôtel Littéraire Jules Verne,8.5,https://www.booking.com/hotel/fr/karitza-biarritz.en-gb.html,"[""You're eligible for a Genius discount at Hôtel Littéraire Jules Verne! To save at this property, all you have to do is "", '.', 'The hotel is located in central Biarritz, near the Palais des Festivals, the casino and the local beaches. Guests are invited to use the heated outdoor swimming pool.', 'All the modern rooms at the Hôtel Littéraire Jules Verne are air-conditioned and soundproofed and feature a flat-screen TV with satellite. Free Wi-Fi is provided and adjoining rooms are available on request.', 'Breakfast can be enjoyed daily in the comfort of guest rooms and a Nespresso coffee machine is available in some rooms.', 'The friendly and attentive staff at the hotel will be happy to help you organise your stay in Biarritz 24 hours a day. Parking in a garage s available with an extra cost. ']",Biarritz,8.0,43.4833,-1.5593,light rain,24,47,1,33
25,"1 rue Dalbarade, 64200 Biarritz, France",Résidence Vacances Bleues Le Grand Large,8.1,https://www.booking.com/hotel/fr/le-grand-large-biarritz.en-gb.html,"[""You're eligible for a Genius discount at Résidence Vacances Bleues Le Grand Large! To save at this property, all you have to do is "", '.', 'Offering panoramic views of Biarritz Cote des Basques Beach and a heated outdoor swimming pool, Le Grand Large is an aparthotel situated in the heart of Biarritz, just 200 m from the Old Harbour with various stores, local markets and tapas bars nearby.', 'The spacious studios at the Le Grand Large feature a loggia with blades viewing the Ocean or the Lighthouse. They all are equipped with a modern private bathroom and a complete kitchenette with ceramic hob.', 'A continental buffet breakfast is available.', 'This aparthotel is less than a 5-minute walk from Cote des Basques Beach. Within 3 km, guests can enjoy Biarritz Golf and Bidart Golf. Biarritz-Anglet-Bayonne Airport is 4 km away. ']",Biarritz,8.0,43.4833,-1.5593,light rain,24,47,1,33
26,"21 Ter Avenue Edouard 7, 64200 Biarritz, France",Résidence Victoria Surf,7.9,https://www.booking.com/hotel/fr/residence-victoria-surf-victoria-management.en-gb.html,"['Résidence Victoria Surf offers self-catering studios located in the centre of Biarritz, overlooking the main beach. The property features an outdoor swimming pool with a paddling pool for children.', 'Each studio has a TV and an equipped kitchenette with vitro-ceramic hobs and a fridge. Some studios have a balcony, and all have a bathroom fitted with a shower.', 'Ideally located for visiting Biarritz, Résidence Victoria Surf provides private, underground limited parking, upon prior request. You will find a choice of shops and restaurants within a 5-minute walk from the property. ']",Biarritz,8.0,43.4833,-1.5593,light rain,24,47,1,33
27,"Rn 10 - Aéroport De Parme, 64200 Biarritz, France",Sure Hotel by Best Western Biarritz Aeroport,7.7,https://www.booking.com/hotel/fr/amaryshotel.en-gb.html,"['Sure Hotel by Best Western Biarritz Aeroport is located in the heart of the Basque, 3 km from the centre of Biarritz and its beaches. It offers free WiFi and free on-site parking.', 'The soundproofed guest rooms at Sure Hotel by Best Western Biarritz Aeroport have double doors for total privacy. Satellite TV and a work desk are provided in each contemporary room. Air condition is available throughout.', 'A buffet breakfast is available daily. Awarded with the ""Maître Restaurateur"" title, the hotel’s restaurant features traditional Basque dishes made with fresh, local produce. During fine weather guests can lunch or dine on the outdoor terrace.', 'Sure Hotel by Best Western Biarritz Aeroport is just 2 km from the A63 motorway and the Biarritz-Anglet-Bayonne Airport is 1 km away. ']",Biarritz,8.0,43.4833,-1.5593,light rain,24,47,1,33
28,"Rue du Port Vieux, 64200 Biarritz, France",Hôtel Georges VI,8.1,https://www.booking.com/hotel/fr/georges-vi.en-gb.html,"[""You're eligible for a Genius discount at Hôtel Georges VI! To save at this property, all you have to do is "", '.', 'The hotel George VI is located in Biarritz Port-Vieux, 50 m from the beach. It has a patio garden and offers free Wi-Fi access in the guest rooms.', 'The Georges VI offers English-style rooms with a flat-screen TV. Each room has air-conditioning, cable TV, and a private bathroom.', 'The interior patio at the hotel George VI is ideal for meeting friends or relaxing after a day of sightseeing. You can borrow beach towels from the 24-hour reception.', 'The hotel is centrally located, 200 m from Le Casino and Le Centre des Congrés Bellevue and 800 m from the Gare du Midi. ']",Biarritz,8.0,43.4833,-1.5593,light rain,24,47,1,33
29,"47 avenue Reine Victoria, 64200 Biarritz, France",Saint Charles Hôtel & Coliving Biarritz,8.1,https://www.booking.com/hotel/fr/le-saint-charles-biarritz.en-gb.html,"[""You're eligible for a Genius discount at Saint Charles Hôtel & Coliving Biarritz! To save at this property, all you have to do is "", '.', 'Le Saint Charles is located just 600 m from the Biarritz beaches and the city centre. Set in a rustic house, the hotel offers accommodation with views of the surrounding area.', 'All of the carpeted rooms at Saint Charles feature traditional furniture and offer views of the garden and a flat-screen TV. Each has its own private bathroom with amenities and some have a decorative fireplace.', ""A hearty continental breakfast consisting of fruit juice, yogurts, French baguette, pastries, jams and honey, a hot drink is served in the hotel's living room featuring a marble fireplace. Guests may also use the dining areas throughout the day and evening."", 'With parking available nearby, the hotel is 4 km from Biarritz-Anglet-Bayonne airport and a 10-minute walk from Quai de la Grande Plage. ']",Biarritz,8.0,43.4833,-1.5593,light rain,24,47,1,33
30,"30 Avenue de La Milady, 64200 Biarritz, France",Hôtel Le Biarritz,7.6,https://www.booking.com/hotel/fr/hotellebiarritz.en-gb.html,"[""You're eligible for a Genius discount at Hôtel Le Biarritz! To save at this property, all you have to do is "", '.', ""Located a 10-minute walk from the centre of Biarritz, this seafront hotel is just a few minutes’ walk from the beach. Guests can access this property's sea water heated swimming pool and the spa centre situated just 150 m away. Its rooms overlook the sea or the city."", 'All of the air-conditioned rooms at Le Biarritz are equipped with a flat-screen TV and an elegant bathroom, some with a walk-in shower. Free WiFi is available in the entire building.', 'Guests of Hotel Le Biarritz have free access to the nearby spa, Thalmar, which features a sea water pool, sauna, hammam and fitness centre. Beauty treatments are at an extra cost.', 'The hotel’s restaurant, Le Ponton, serves traditional cuisine, prepared with seasonal produce.  During the summer guests can dine on its terrace with views of the surrounding area.', 'The Pyrenees Mountains are a 30-minute drive from the hotel. Free public parking is available on site, for guests who wish to explore the Basque region by car. ']",Biarritz,8.0,43.4833,-1.5593,light rain,24,47,1,33
31,"Appartement 815 21 ter Avenue Edouard VII, 64200 Biarritz, France",Studio et piscine sur la grande plage,8.3,https://www.booking.com/hotel/fr/studio-et-piscine-sur-la-grande-plage.en-gb.html,"['Set in Biarritz, just 400 m from Grande Plage, Studio et piscine sur la grande plage offers beachfront accommodation with a seasonal outdoor swimming pool, a terrace and free WiFi. This apartment also features a private pool.', 'The apartment comes with 1 bedroom, 1 bathroom, bed linen, towels, a flat-screen TV, a dining area, a fully equipped kitchen, and a balcony with city views. For added convenience, the property can provide towels and bed linen for an extra charge.', 'If you would like to discover the area, hiking is possible in the surroundings and the apartment can arrange a bicycle rental service.', 'Plage Miramar is 400 m from Studio et piscine sur la grande plage, while Plage Pêcheurs is 500 m away. The nearest airport is Biarritz, 5 km from the accommodation, and the property offers a free airport shuttle service. ']",Biarritz,8.0,43.4833,-1.5593,light rain,24,47,1,33
32,"Rue de Madrid, 82, 64200 Biarritz, France",Superbe appartement vue mer et accès direct plage,9.0,https://www.booking.com/hotel/fr/superbe-appartement-vue-mer-et-acces-direct-plage.en-gb.html,"['Offering a garden and sea view, Superbe appartement vue mer et accès direct plage is situated in Biarritz, 200 m from Plage Milady and 300 m from Cote des Basques Beach. The property is 17 km from Saint Jean de Luz Train Station and 17 km from Saint-Jean-Baptiste Church.', 'The apartment has 2 bedrooms, a flat-screen TV with satellite channels, an equipped kitchen with a dishwasher and a microwave, a washing machine, and 2 bathrooms with a shower.', 'Plage Marbella is 300 m from the apartment, while Biarritz La Négresse Train Station is 2.6 km from the property. The nearest airport is Biarritz Airport, 5 km from Superbe appartement vue mer et accès direct plage. ']",Biarritz,9.0,43.4833,-1.5593,light rain,24,47,1,33
33,"29, rue Gambetta, 64200 Biarritz, France",Maison Garnier Hôtel de Charme Biarritz,8.9,https://www.booking.com/hotel/fr/maison-garnier.en-gb.html,"[""Located in central Biarritz, Maison Garnier is 5 minutes' walk from the coast and 5.3 Km from Biarritz-Anglet-Bayonne Airport. It offers a lounge featuring a carved wooden fireplace."", 'All of the soundproof rooms at Maison Garnier feature a TV with cable channels and a private bathroom with amenities. Some rooms are furnished with traditional Basque furniture and a fireplace.', 'A continental breakfast is served daily in the stained-glass door dining room. Breakfast can also be served in guest rooms where Wi-Fi access is also available.', 'The hotel can be accessed from the train station just 2.7 km away and the Casino de France is a 5-minute walk away. Public parking is possible at a location nearby. ']",Biarritz,9.0,43.4833,-1.5593,light rain,24,47,1,33
34,"30 rue Gambetta, 64200 Biarritz, France",Hotel de Silhouette,8.8,https://www.booking.com/hotel/fr/de-silhouette-biarritz.en-gb.html,"[""You're eligible for a Genius discount at Hotel de Silhouette! To save at this property, all you have to do is "", '.', 'Located at the heart of Biarritz, this hotel is just 300 m from the beaches. It features a 24-hour reception, a terrace in the private garden and air-conditioned rooms.', 'The soundproofed guest rooms feature a minibar and a flat-screen TV with cable channels. Each room has a private bathroom including amenities and a hairdryer. Free Wi-Fi is available throughout the hotel.', 'The bar is open all year, and the restaurant serves regional cuisine during the summer. In the morning, guests can enjoy a buffet breakfast.', 'With private parking on site, the Hotel de Silhouette is 800 m from Le Phare Golf Club. There is a free city tour bus every 10 minutes, which stops just outside the hotel. Biarritz Train Station is 5 km away. ']",Biarritz,9.0,43.4833,-1.5593,light rain,24,47,1,33
35,"14 Avenue Louis Barthou, 64200 Biarritz, France",Charmant T1 hypercentre 100m Grand Plage,9.0,https://www.booking.com/hotel/fr/charmant-t1-hypercentre-100m-grand-plage.en-gb.html,"['Situated in Biarritz, just 400 m from Grande Plage, Charmant T1 hypercentre 100 m Grand Plage features beachfront accommodation with free WiFi. This apartment is 3.3 km from Biarritz La Négresse Train Station and 17 km from Saint Jean de Luz Train Station.', 'The apartment is located on the ground floor and has 1 bedroom, a flat-screen TV and a fully equipped kitchen that provides guests with a dishwasher, a microwave, a washing machine, a fridge and an oven. Towels and bed linen are offered.', 'If you would like to discover the area, hiking is possible in the surroundings.', 'Plage Pêcheurs is 500 m from the apartment, while Plage Miramar is 700 m from the property. The nearest airport is Biarritz Airport, 5 km from Charmant T1 hypercentre 100 m Grand Plage. ']",Biarritz,9.0,43.4833,-1.5593,light rain,24,47,1,33
